Putt Event Auto-Capture (Device Motion @ 100Hz)
Sample Count: 232

Timestamp,UserAccelX,UserAccelY,UserAccelZ,UserAccelMag,RotationX,RotationY,RotationZ,RotationMag,GravityX,GravityY,GravityZ,Pitch,Roll,Yaw
2026-02-17 15:31:26.118,-0.0057,-0.0056,0.0028,0.0085,0.0028,-0.0141,-0.0031,0.0147,0.9227,0.1743,0.3439,-0.1752,1.9276,2.7380
2026-02-17 15:31:26.118,0.0018,-0.0091,0.0065,0.0113,0.0157,-0.0163,0.0007,0.0227,0.9227,0.1743,0.3438,-0.1752,1.9274,2.7379
2026-02-17 15:31:26.118,0.0028,-0.0071,0.0123,0.0145,0.0083,-0.0122,-0.0002,0.0148,0.9228,0.1743,0.3436,-0.1752,1.9273,2.7377
2026-02-17 15:31:26.118,0.0024,-0.0071,0.0121,0.0143,-0.0066,-0.0095,-0.0022,0.0118,0.9228,0.1743,0.3435,-0.1752,1.9272,2.7378
2026-02-17 15:31:26.118,-0.0017,-0.0074,0.0072,0.0105,-0.0047,-0.0081,-0.0058,0.0110,0.9228,0.1744,0.3435,-0.1753,1.9271,2.7378
2026-02-17 15:31:26.118,-0.0044,-0.0065,0.0040,0.0089,-0.0059,-0.0072,-0.0091,0.0130,0.9229,0.1744,0.3434,-0.1753,1.9270,2.7379
2026-02-17 15:31:26.118,-0.0046,-0.0058,-0.0012,0.0075,-0.0176,-0.0076,-0.0135,0.0234,0.9229,0.1744,0.3434,-0.1753,1.9270,2.7380
2026-02-17 15:31:26.119,-0.0083,-0.0053,-0.0098,0.0139,-0.0465,-0.0096,-0.0105,0.0487,0.9229,0.1744,0.3434,-0.1753,1.9270,2.7384
2026-02-17 15:31:26.119,-0.0056,-0.0122,-0.0092,0.0162,-0.0475,-0.0136,-0.0061,0.0498,0.9229,0.1743,0.3434,-0.1752,1.9270,2.7389
2026-02-17 15:31:26.119,0.0025,-0.0159,-0.0029,0.0164,-0.0310,-0.0184,-0.0048,0.0363,0.9229,0.1742,0.3433,-0.1751,1.9269,2.7393
