Putt Event Auto-Capture (Raw Accelerometer @ 800Hz)
Sample Count: 262

Timestamp,RawAccelX,RawAccelY,RawAccelZ,RawAccelMag
2026-02-17 15:31:26.100,0.8822,0.1869,0.4638,1.0141
2026-02-17 15:31:26.100,0.8852,0.1844,0.4738,1.0208
2026-02-17 15:31:26.100,0.8854,0.2005,0.4772,1.0256
2026-02-17 15:31:26.100,0.8844,0.2013,0.4800,1.0262
2026-02-17 15:31:26.100,0.8775,0.1922,0.4901,1.0233
2026-02-17 15:31:26.100,0.8717,0.1917,0.4934,1.0199
2026-02-17 15:31:26.100,0.8740,0.1895,0.4872,1.0184
2026-02-17 15:31:26.100,0.8766,0.1862,0.4798,1.0165
2026-02-17 15:31:26.100,0.8764,0.1826,0.4756,1.0137
2026-02-17 15:31:26.100,0.8752,0.1800,0.4782,1.0134
2026-02-17 15:31:26.100,0.8697,0.1813,0.4842,1.0117
2026-02-17 15:31:26.100,0.8636,0.1898,0.4904,1.0111
2026-02-17 15:31:26.100,0.8649,0.1915,0.4941,1.0143
2026-02-17 15:31:26.100,0.8665,0.1867,0.4898,1.0127
2026-02-17 15:31:26.100,0.8672,0.1853,0.4900,1.0131
2026-02-17 15:31:26.100,0.8676,0.1936,0.4900,1.0150
2026-02-17 15:31:26.100,0.8670,0.1927,0.4865,1.0127
2026-02-17 15:31:26.100,0.8609,0.1837,0.4911,1.0080
2026-02-17 15:31:26.100,0.8586,0.1906,0.4964,1.0099
2026-02-17 15:31:26.100,0.8634,0.2076,0.4958,1.0171
2026-02-17 15:31:26.100,0.8629,0.2088,0.4842,1.0112
2026-02-17 15:31:26.100,0.8588,0.2054,0.4720,1.0013
2026-02-17 15:31:26.100,0.8561,0.2017,0.4753,0.9998
2026-02-17 15:31:26.100,0.8510,0.1946,0.4809,0.9966
2026-02-17 15:31:26.100,0.8490,0.1971,0.4790,0.9945
2026-02-17 15:31:26.100,0.8480,0.2019,0.4762,0.9933
2026-02-17 15:31:26.100,0.8518,0.2067,0.4727,0.9959
2026-02-17 15:31:26.100,0.8570,0.2046,0.4625,0.9951
2026-02-17 15:31:26.100,0.8517,0.2005,0.4609,0.9890
2026-02-17 15:31:26.100,0.8448,0.1944,0.4701,0.9861
2026-02-17 15:31:26.100,0.8448,0.1913,0.4794,0.9900
2026-02-17 15:31:26.101,0.8452,0.2008,0.4815,0.9933
2026-02-17 15:31:26.101,0.8437,0.2058,0.4807,0.9926
2026-02-17 15:31:26.101,0.8458,0.1937,0.4792,0.9912
2026-02-17 15:31:26.101,0.8461,0.1865,0.4827,0.9918
2026-02-17 15:31:26.101,0.8453,0.1926,0.4852,0.9935
2026-02-17 15:31:26.101,0.8433,0.1925,0.4819,0.9902
2026-02-17 15:31:26.101,0.8449,0.1855,0.4854,0.9919
2026-02-17 15:31:26.101,0.8463,0.1913,0.4918,0.9973
2026-02-17 15:31:26.101,0.8432,0.1976,0.4932,0.9967
2026-02-17 15:31:26.101,0.8367,0.1894,0.4915,0.9887
2026-02-17 15:31:26.101,0.8333,0.1846,0.4896,0.9839
2026-02-17 15:31:26.101,0.8349,0.1928,0.4887,0.9864
2026-02-17 15:31:26.101,0.8367,0.1963,0.4855,0.9871
2026-02-17 15:31:26.101,0.8365,0.1991,0.4812,0.9854
2026-02-17 15:31:26.101,0.8385,0.1952,0.4772,0.9843
2026-02-17 15:31:26.101,0.8429,0.1853,0.4698,0.9826
2026-02-17 15:31:26.101,0.8450,0.1882,0.4615,0.9810
2026-02-17 15:31:26.101,0.8519,0.1870,0.4535,0.9831
2026-02-17 15:31:26.101,0.8586,0.1837,0.4483,0.9859
2026-02-17 15:31:26.101,0.8636,0.1882,0.4330,0.9842
2026-02-17 15:31:26.101,0.8690,0.1836,0.4154,0.9805
2026-02-17 15:31:26.101,0.8727,0.1777,0.4023,0.9773
2026-02-17 15:31:26.101,0.8765,0.1752,0.3934,0.9766
2026-02-17 15:31:26.101,0.8777,0.1780,0.3886,0.9763
2026-02-17 15:31:26.101,0.8810,0.1844,0.3876,0.9800
2026-02-17 15:31:26.101,0.8969,0.1855,0.3877,0.9946
2026-02-17 15:31:26.101,0.9115,0.1916,0.3857,1.0081
2026-02-17 15:31:26.101,0.9160,0.1846,0.3822,1.0095
2026-02-17 15:31:26.101,0.9182,0.1713,0.3782,1.0077
2026-02-17 15:31:26.101,0.9280,0.1712,0.3719,1.0143
2026-02-17 15:31:26.101,0.9398,0.1838,0.3655,1.0250
2026-02-17 15:31:26.101,0.9426,0.1899,0.3638,1.0281
2026-02-17 15:31:26.101,0.0230,-0.2219,-0.8576,0.8862
2026-02-17 15:31:26.101,0.0379,-0.2359,-0.8654,0.8978
2026-02-17 15:31:26.101,0.0322,-0.2482,-0.8708,0.9060
